,Name,"(540, 'De Excidio et Conquestu Britanniae')","(600, 'Book of Taliesin')","(650, 'Y Gododdin')","(721, 'The Ecclesiastical History of the English People')","(850, 'Historia Brittonum')","(950, 'Pa Gur yv y porthaur')","(970, 'Annales Cambriae')","(975, 'Harleian genealogies')","(1050, 'Culhwch and Olwen, Welsh Triads')","(1110, 'Culhwch ac Olwen')","(1134, 'Historia Regum Britanniae')","(1150, 'Vita Merlini')","(1170, 'Erec and Enide')","(1175, '1170s')","(1181, 'Perceval, the Story of the Grail')","(1200, 'Mabinogion')","(1210, 'Perlesvaus')","(1220, 'Daniel von Blumenthal')","(1225, 'Parzival')","(1230, 'Jaufré')","(1235, 'Prose Tristan')","(1240, 'Palamedes')","(1250, 'Morien')","(1275, 'Welsh Triads')","(1280, 'Girart')","(1300, 'Sir Gawain and the Green Knight')","(1470, ""Le Morte D'Arthur"")","(1584, 'Discovery of Witchcraft')","(1590, 'The Faerie Queene')","(1591, 'Farewell to Folly')","(1599, 'Tom a Lincoln part 1')","(1885, 'Idylls of the King')","(1903, 'King Arthur Meets Lady Guinevere')","(1905, 'The Life of Sir Aglovale de Galis')","(1958, 'The Once and Future King')"
114,Elaine of Garlot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Elaine of Listenoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Elaine the Peerless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Elyan the White†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Esclabor†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Geneir Gwystyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Geraint†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Gingalain†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Hoel†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Iseult of Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,(Queen) Iseult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Iseult of the White Hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Leodegrance†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Lucan†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Meirchion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Nimue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Oberon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Parcenet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Pelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,(Lady) Ragnell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Tor†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Ywain the Bastard†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,(King) Cerdic of Wessex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,(King) Cynric of Wessex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Llamrei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Culhwch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,(Queen) Guinevere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Gwyn ap Nudd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Olwen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Ysbaddaden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Morgan Tud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Joseph of Arimathea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Evaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Galehault†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Lanval†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Andred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Elaine of Astolat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Accolon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Pellam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Segurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Brangaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Maleagant†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Galeschin†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
