,Name,date,Earliest appearance,Works featured in,Description
99,Joseph of Arimathea,1150.0,"Joseph d'Arimathie [fr], 12th century",,First keeper of the Holy Grail in Arthurian legend
105,Lanval†,1150.0,"Lanval, late 12th century","Sir Landevale, Sir Launfal, Sir Lambewell",A knight of King Arthur's court who falls in love with a fairy
143,Brangaine,1150.0,"Tristan, 12th century","Tristan poems, Post-Vulgate Cycle, Le Morte d'Arthur",Handmaid to Iseult
144,Morholt†,1150.0,"Tristan, 12th century","Tristan poems, Prose Tristan, Post-Vulgate Cycle, Le Morte d'Arthur","Irish knight, rival of Tristan, uncle of Iseult"
145,Maleagant†,1150.0,"Unclear, a similar character named ""Melwas"" appears in the 12th century Life of Gildas","Lancelot-Grail, Post-Vulgate Cycle, Le Morte d'Arthur",Abductor of Guinevere
148,Morgan le Fay,1150.0,"Unclear; first mention as Morgan in Vita Merlini, c. 1150",Many,"Sorceress, half-sister and sometime antagonist of Arthur, and (in some traditions) mother of Mordred"
2,Bagdemagus†,1170.0,,"Lancelot, the Knight of the Cart, 1170s",Meleagant's father and ruler of Gorre
78,Enide,1170.0,"Erec and Enide, c. 1170","Idylls of the King, Geraint and Enid",Erec's wife
79,Gornemant,1170.0,"Erec and Enide, c. 1170","Perceval, the Story of the Grail",Percival's mentor
80,Gringolet,1170.0,"Erec and Enide, c. 1170",Sir Gawain and the Green Knight,Gawain's horse
81,Lancelot†,1170.0,"Erec and Enide, c. 1170","Lancelot, the Knight of the Cart, Lancelot-Grail, The Once and Future King, many others","Son to King Ban and Elaine, most famous for his affair with Queen Guinevere, Arthur's wife, most prominent Knight of the Round Table"
82,Percival†,1170.0,"Erec and Enide, c. 1170","Perceval, the Story of the Grail, Lancelot-Grail, many","Achiever of the Holy Grail, King Pellinore's son in some tales"
133,Kahedin,1170.0,Roman de Tristan,"Prose Tristan, Le Morte D'Arthur","Brother to Iseult, son of King Hoel, had an affair with Brangaine"
134,Tristan†,1170.0,Roman de Tristan,"Roman de Tristan, the two ""Folies Tristans"", ""Chevrefeuil"", Prose Tristan, Post-Vulgate Cycle, Le Morte d'Arthur","Son of Blancheflor and Rivalen (or Meliodas), Iseult's lover"
146,Lady of the Lake,1170.0,"Unclear; a water fay is first mentioned as Lancelot's foster mother in Lancelot, the Knight of the Cart, 1170s",Many,"There are several related characters called the Lady of the Lake—their actions include giving Arthur his sword Excalibur, raising Lancelot and his cousins as foster children, enchanting Merlin, and taking the dying king to Avalon"
147,Erec†,1170.0,"Unclear; first literary appearance as Erec in Erec and Enide, c. 1170",see Geraint and Enid,Son of King Lac and a Knight of the Round Table
153,Calogrenant†,1170.0,"Yvain, the Knight of the Lion, 1170s",Le Morte d'Arthur,Cousin to Sir Ywain
154,Esclados,1170.0,"Yvain, the Knight of the Lion, 1170s",,"Defended a magical fountain in the Forest of Broceliande, married to Laudine"
155,Laudine,1170.0,"Yvain, the Knight of the Lion, 1170s","Owain, or the Lady of the Fountain, Iwein",Sir Ywain's wife
156,Lunete,1170.0,"Yvain, the Knight of the Lion, 1170s",,Handmaiden and advisor to Laudine
27,Geraint†,1180.0,,Geraint and Enid,Enid's lover
32,Hoel†,1180.0,,"The Dream of Rhonabwy, Geraint and Enid","Son of King Budic of Brittany, father to St. Tudwal"
83,Morgan Tud,1180.0,Geraint ac Enid,,Head physician of Arthur's court
